ID,order_ID,product_ID,quantity,price
11111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111111,1,45000
22222222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111111,22111111-1111-1111-1111-111111111111,2,350
33333333-3333-3333-3333-333333333333,22222222-2222-2222-2222-222222222222,44444444-4444-4444-4444-444444444444,2,6500
44444444-4444-4444-4444-444444444444,22222222-2222-2222-2222-222222222222,77777777-7777-7777-7777-777777777777,2,3200
55555555-5555-5555-5555-555555555555,22222222-2222-2222-2222-222222222222,21111111-1111-1111-1111-111111111111,2,450
66666666-6666-6666-6666-666666666666,33333333-3333-3333-3333-333333333333,12111111-1111-1111-1111-111111111111,1,15000
77777777-7777-7777-7777-777777777777,44444444-4444-4444-4444-444444444444,13111111-1111-1111-1111-111111111111,2,2200
88888888-8888-8888-8888-888888888888,54444444-4444-4444-4444-444444444444,22111111-1111-1111-1111-111111111111,3,350
99999999-9999-9999-9999-999999999999,55555555-5555-5555-5555-555555555555,18111111-1111-1111-1111-111111111111,5,2500
12111111-1111-1111-1111-111111111111,55555555-5555-5555-5555-555555555555,19111111-1111-1111-1111-111111111111,2,3500
13111111-1111-1111-1111-111111111111,66666666-6666-6666-6666-666666666666,21111111-1111-1111-1111-111111111111,5,450
14111111-1111-1111-1111-111111111111,66666666-6666-6666-6666-666666666666,22111111-1111-1111-1111-111111111111,4,350
15111111-1111-1111-1111-111111111111,77777777-7777-7777-7777-777777777777,13111111-1111-1111-1111-111111111111,2,2200
16111111-1111-1111-1111-111111111111,77777777-7777-7777-7777-777777777777,17111111-1111-1111-1111-111111111111,1,4500
17111111-1111-1111-1111-111111111111,88888888-8888-8888-8888-888888888888,15111111-1111-1111-1111-111111111111,1,18000
18111111-1111-1111-1111-111111111111,88888888-8888-8888-8888-888888888888,21111111-1111-1111-1111-111111111111,3,450
19111111-1111-1111-1111-111111111111,99999999-9999-9999-9999-999999999999,19111111-1111-1111-1111-111111111111,2,3500
21111111-1111-1111-1111-111111111111,99999999-9999-9999-9999-999999999999,23111111-1111-1111-1111-111111111111,1,7500
